10.06.2021                                                                                   Dynamic List Display                                                                                          1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  MANDT|ID_REGISTRO|ID_POSICION|ID_REGISTRO_GENERAL_CP|PRODUCTO      |CANTIDAD|DESCRIPCION  |TIPO_APARATO|INCENTIVO_UNITARIO|INCENTIVO_TOTAL|PRECIO_BASE|PORCENTAJE_IMPOSITIVO|IMPORTE_UNITARIO|     TOTAL|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  100  |           |           |                      |              |   00000|             |            |              0,00|           0,00|       0,00|                   00|            0,00|      0,00|
|  100  |           |1          |                      |2             |   00022|             |            |              0,00|           0,00|       0,00|                   00|            0,00|      0,00|
|  100  |           |AUTO LOGIC |                      |1             |   00003|AUTO PRODUCTO|AUT         |              2,00|           6,00|       0,00|                   04|            1,00|      3,00|
|  100  |00000000027|           |                      |              |   00000|             |            |              0,00|           0,00|       0,00|                   00|            0,00|      0,00|
|  100  |00000000028|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000029|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000030|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000031|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000032|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000033|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000034|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000035|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000036|AUTO LOGIC |                      |              |   00000|AUTO PRODUCTO|AUT         |              2,00|           0,00|       0,00|                   00|            1,00|      0,00|
|  100  |00000000039|           |                      |1             |   00001|AUTO PRODUCTO|AUT         |              2,00|           2,00|       0,00|                   11|            1,00|      1,00|
|  100  |00000000040|           |                      |2             |   00002|AUTO PRODUCTO|AUT         |              2,00|           4,00|       0,00|                   01|            1,00|      2,00|
|  100  |00000000041|AUTO LOGIC |                      |2             |   00003|AUTO PRODUCTO|AUT         |              2,00|           6,00|       0,00|                   02|            1,00|      3,00|
